t,T,T_eff,L,rho,R,X
4002841.549373267,11475260.194791427,10212.390857758002,9.604011014387495,1.4530394419777912,0.989975916022684,0.9799999998862916
4164260.543168069,11767936.288655546,10350.64222680763,9.629134218882713,1.5689703332909761,0.964966388547234,0.9799999993724462
4325679.5369628705,12463166.545200555,10672.125181424255,9.68353298531968,1.8691601725636258,0.9102658659765785,0.9799999991440365
4706756.324363225,13927902.710711565,11320.38245365888,9.776857746802353,2.624577861449419,0.8128878080781667,0.9799999973394415
4897294.718063403,14276422.193567097,11469.332196572337,9.795339485443055,2.8306838076939065,0.7926594533783777,0.9799999813546582
5087833.11176358,15104771.882156815,11815.887298887834,9.834230410424748,3.3641804232152004,0.7483257171938049,0.9799999744200615
5538876.739394417,16848832.036820773,12514.192054658195,9.895832050379648,4.703598348414841,0.6692273590160513,0.9799999193272907
5764398.553209837,17260192.40058277,12673.233565049362,9.906866341186493,5.065379474112764,0.6528996487064856,0.9799994695721839
5989920.367025255,18242237.05702028,13044.903119922834,9.928422078750849,6.005049745261868,0.6168954407252489,0.979999282124785
6530223.636069563,20324608.810825635,13798.87819641084,9.95477885065846,8.37928709025672,0.5520538040794578,0.9799978208805507
6800375.270591717,20774754.594979864,13956.363226696347,9.957848294135227,8.965554046349437,0.5397484278535436,0.9799871484195498
7070526.905113871,21935310.13871207,14353.770035485564,9.960460187630252,10.6064147768456,0.5103415105542812,0.9799831270201023
7873240.3852372505,24923970.166050177,15326.76597601191,9.943312584792341,15.761528336491303,0.4472163313346803,0.979944045483751
8274597.125298941,24297742.368984498,15131.994227026813,9.964222872862853,14.551362521773173,0.45928529786370936,0.9795815832794823
8675953.86536063,26327117.889677968,15763.971353321665,9.936660218243647,18.677767760492227,0.4226122744356419,0.9796244327962748
7510456.463999564,23478385.153185785,14864.763483547846,9.955777634377313,13.09263459249479,0.4757455645083884,0.9799617082654989
7730421.24344241,23786859.72529126,14965.260263863258,9.956297694305263,13.631719558334769,0.4693896933955077,0.979892960775158
7950386.0228852555,24568937.77904456,15215.472548280268,9.950186309049615,15.07154096819203,0.4539393981636946,0.9798685358378645
8390315.581770947,25723129.296329204,15577.51556591411,9.940733984756116,17.380140923120514,0.4328784831929104,0.9797499929236054
8610280.361213792,25583548.80089794,15536.592588773357,9.951820728773539,17.079401869965942,0.4354044645193135,0.9795180267321305
8830245.140656639,26232423.617565848,15736.60830624993,9.944298574957584,18.462792377647833,0.424246207193255,0.9794684381269296
9349519.667172596,26776739.03266321,15905.458449822987,9.949900596454185,19.667123469748965,0.41540349762743356,0.9791009649230251
9609156.930430574,26386763.144590452,15790.917747068717,9.971222202269619,18.772125328421374,0.42190300176171713,0.9787252321351531
9868794.193688553,26933962.638002317,15957.589848114574,9.966193298921846,20.007906041367022,0.41303154060677677,0.9786195027235046
9259331.021946106,26680609.26814726,15875.783680495499,9.949014658933153,19.4505881609952,0.4169393172279513,0.9791647884089172
9473873.962590838,26462768.25168708,15812.470632043658,9.96365266821319,18.94795437898352,0.4205939166259574,0.9788855631312625
9688416.903235571,26810050.176674247,15918.786847719126,9.962475606785752,19.72880168813929,0.4149701532787761,0.9787681322505184
10117502.784525037,26876059.142232843,15942.79505083507,9.977810261916309,19.862125679973236,0.4140395759546161,0.9783515522521253
10332045.72516977,26838187.87865382,15933.648228767255,9.987598023302041,19.764761391736396,0.41471833705698713,0.9781211122561242
10546588.665814504,26896624.687001675,15953.248410825068,9.994552324777118,19.89031017663494,0.41384391932308745,0.9779199786614898
11390642.399108686,26909554.321333595,15965.604082789168,10.02838213796907,19.881888259237037,0.4139023454853768,0.9770628186554889
11812669.265755776,26908817.409195367,15969.678351390508,10.045729748659394,19.860793076286164,0.41404883604682463,0.9766277113241993
12234696.132402867,26922981.520714577,15978.173553759168,10.062551734263824,19.874326664336138,0.4139548313728985,0.976199941272529
14044298.531782687,26928665.806110654,15998.246592304078,10.136914547671065,19.80466267859845,0.4144396329753934,0.9743430682590638
14949099.731472597,27010920.48854353,16032.213393301707,10.172752136369866,19.952394493159787,0.41341423134340566,0.9734176990963859
15853900.931162506,26799825.109195113,15978.330955962228,10.21701879522783,19.42647458003064,0.4171117578995042,0.9724182649741568
13208306.691394586,26926030.55159997,15988.967461683214,10.102489198783545,19.836805197453437,0.41421566654827563,0.9752008979615585
13695111.970890446,26950470.98368115,16001.269452313089,10.122074253029936,19.87074551561649,0.41397969782403904,0.9747022709520623
14181917.250386305,26922613.18178224,15997.914651631298,10.143106106507222,19.78406856599595,0.41458338595959027,0.9741920104901716
15155527.809378024,26968248.83021699,16021.528166874574,10.182422461586357,19.844436294793745,0.4141625647571922,0.9731976598453475
